,star,text,symptom
91,1.0,"Eat here if you like terrible music playing loudly in your ear, $12 vodka tonics made with Sprite and hair, rude servers, food that may or may not make you vomit four times in the middle of the night, and slow service. Seriously. Don't go here if your life depends on it.",vomit
92,1.0,"FOOD POISONING! I can't remember the last time I was throwing up so much and dealing with stomachaches and cold sweats. We ordered a few orders of sake nigiri and it smelled stale and not refrigerated. The service was great, but I'm in so much pain right now that I don't think I would go back again. Plenty of people recommended this place to me, but reading other reviews, it looks like I'm not the only one who got really sick. I would never recommend a restaurant where the chefs consistently get their guests sick.",throwing up
93,1.0,"We got an order of Hot Garlic and an order of Hot & Sweet.  The wings were very skinny, fatty, greasy, and to make it worse, they didn't put enough sauce so I ended up adding some Kraft BBQ sauce I had at home.  

The fries were pretty mushy, greasy, and tasteless.  

And to finish it off, both of us got food poisoning!!   I noticed that when they were serving them, a couple of wings fell on the kitchen counter and they just put it right in my box.  When I saw that I was crossing my fingers that the kitchen counter would have been as clean as their mixing bowls, but maybe that was not the case.  

DEFINETLY NOT COMING BACK.",poison
94,3.0,"I ordered the one thing on the menu specifically designed to induce immediate diarrhea, The Ranchero. Two bites in and I could already feel the squirtles.",diarrhea
95,2.0,"Sakana sushi was mediocre for an AYCE sushi restaurant until my husband had the oysters. He was the only one who ate them and right after dinner, he felt sick to his stomach. The next morning he felt even worse and I'm thinking he had food poisoning from those oysters because he hadn't eaten much else all day knowing that we were going to an AYCE sushi restaurant for dinner. 

The only things that were decent were the garlic tuna nigiri and the skewers with bacon wrapped asparagus and lobster. The yuzu hamachi was also pretty good. The pricing for the AYCE menu is $25.95 for dinner, which I think is good if you can eat tons of sushi but definitely not the best quality. 

Service was terrible. Our waitress (girl with black framed glasses) was not friendly and gave us our check while we were still eating as if she was trying to rush us out. She acted as if she was irritated to take our order each time she came to the table. We ordered hot tea (which we had to pay for) and it never came even with asking for it twice. 

This was my first time here and I was very excited to try it out after reading all the great reviews but I won't be returning.",poison
96,1.0,"I swore to myself that I would write a scathing review of this place one day. That day is today.

I visited this Starbucks during Memorial Day weekend in 2008. I was vegan at the time and got an iced soy latte. Within about 3 hours of consuming my drink, I began to feel sick. I'll spare you the details, but will say that I suffered the worst bout of food poisoning known to man.  (Anyone who's suffered food poisoning will argue that their experience was the worst, right?)  I hear tell that bad soy milk can cause horrible food poisoning, so I'm certain that was the source of my misery. Not only did I quit drinking coffee after that ordeal, but I also gave up being vegan. I couldn't imagine ever touching soy milk again. 

I realize these things happen and it doesn't mean that all Starbucks are terrible and to be avoided...just think twice, perhaps, when ordering a drink with soy.",poison
97,1.0,Me and my 4 year old son plus my fiance and daughter ate at this restaurant. My son didn't want the egg on his sandwich so I ate it. Me and my son both ended up getting food poisoning. Four days later he's staying in the hospital with a fever of 102 degrees and he's lost 4 pounds in a day of water weight. I contacted the McDonalds and they didn't show that they cared at all.,poison
98,1.0,"No bueno. Lousy service. Poor interpretation of ""Mexican"" food. My date got food poisoning....enough said.",poison
99,1.0,"Love super soft burritos from Taco Time, and for a treat went in here to indulge a bit. Long story short...got horrific food poisoning and was out if commission for almost 3 days. Would not wish that experience on my worst enemy! Hope they get their act together and that no one else got sick.",poison
100,1.0,"Got a burger with spring rolls for lunch on Monday, spent all Monday evening being sick and am still recovering from food poisoning. I am NOT a happy camper.",poison
101,1.0,"My grandchildren and I threw up right after we got home from Nani.  We all had upset stomach.   It was our first time there. There were chunks of fat in ALL the dim sum we ordered.  It was kind of gross.   If you are the chef of Nani reading this,  please cook healthier food for others.  Food poisoning is not a joke.  I'm feeling very disgusted thinking about your food.",poison
102,1.0,"Food poisoning with a side of terrible service.

We've been ordering and going here for over a year. We know what we get when we go here, terrible service, passable sushi, good prices. You get what you pay for and we bite the bullet when go. We know exactly what to expect.

One thing we never expected was to get food poisoning. My wife and I were sick for almost a whole week. I won't be going back and we'll probably head up the street and pay a bit more money at another place to get safer food with better service.",poison
103,1.0,"Buy sushi from Albertsons before you eat here and save money, it tastes the exact same.....This place sucks. It doesn't even deserve one star. The service was terrible after we ordered 5 rolls and only received 4....I asked the waiter to check on it, the pop rockin roll that was apparently their featured roll, and what do ya know he never brought it anyways. And I think we were still charged for it too!!! $270 down the drain for sushi that is $25 for FIVE FUCKING pieces. Nothing had flavor and all of us left hungry still and have to go eat somewhere else because we were so sick of this place. I am furious and woke up to a stomach full of food poisoning. If you want to eat here just catch $270 on fire and it will be just as satisfying at sitting down and eating in this disgusting bad serviced place.",poison
104,1.0,"WARNING: Do not get the popcorn chicken. It tasted awful and gave two of us that had it food poisoning. 

It honestly tasted so much like pork, that I came to check on reviews, to find dozens of reviews mentioning undercooked chicken. This place seems like it was built more for Instagram pics, and less for quality food. 

Please be careful eating here.",poison
105,1.0,"3rd time we've tried - 3x bad. We paid $114.77 family of 6. Pork pot-stickers undercooked. One bite & threw out. All chicken - low quality dark meat w/ grizzle. Ate few pieces of chicken, couldn't stomach. 4 hours later woke w/ extreme nausea & began vomiting - persisted 18 hours. Don't eat here.",vomit
106,2.0,"I used a Groupon for the steak dinner and got food poisoning, as did my girlfriend. We had both asked for medium rare but mine was like chewing on bubble gum, I only took 2 bites and had to leave the rest. That's all it took to incapacitate me for the next 36 hours, thankfully my girlfriend's was more fully cooked and didn't get it as bad. I don't know if it was because we arrived on a Sunday at 10pm or if they use leftover steaks for groupon users but it is inexcusable. I've never been so sick and based on the symptoms, I think it might have been salmonella. The only saving grace was the talented karaoke singers. I usually never post reviews but felt it was necessary to warn people of the gamble of eating here. I realize not everyone gets food poisoning here but even one time is too many.",poison
107,1.0,"What an absolute waste !!! My wife got food poisoning the first day. First meal upon arrival, no alcohol, 6 hours later she became violently ill. Was sick the whole trip. Room was filthy, the sink backed up, the hot water ran out on one day, The bed was gross. If they just simply move the bed when cleaning and did a thorough job it could be better. Stay at motel 6........it would be an upgrade !!!!  Managers take no responsibility for my wife's illness so far, Just kick the can down the road. Oh and the 30 bucks to check in early...WTH...... if the rooms open give the customer the key. Just another way to rip you off.",poison
